b1_b4_b8_b12_b15_id;b1;b4;b8;b12;b15
1;1;4;8;12;15
2;1;4;8;12;16
3;1;4;8;12;17
4;1;4;8;12;18
5;1;4;8;12;19
6;1;4;8;12;20
7;1;4;8;12;21
8;1;4;8;12;22
9;1;4;8;12;23
10;1;4;8;12;24
11;1;4;8;12;25
12;1;4;8;13;16
13;1;4;8;13;17
14;1;4;8;13;18
15;1;4;8;13;19
16;1;4;8;13;20
17;1;4;8;13;21
18;1;4;8;13;22
19;1;4;8;13;23
20;1;4;8;13;24
21;1;4;8;13;25
22;1;4;8;14;17
23;1;4;8;14;18
24;1;4;8;14;19
25;1;4;8;14;20
26;1;4;8;14;21
27;1;4;8;14;22
28;1;4;8;14;23
29;1;4;8;14;24
30;1;4;8;14;25
31;1;4;8;15;18
32;1;4;8;15;19
33;1;4;8;15;20
34;1;4;8;15;21
35;1;4;8;15;22
36;1;4;8;15;23
37;1;4;8;15;24
38;1;4;8;15;25
39;1;4;8;16;19
40;1;4;8;16;20
41;1;4;8;16;21
42;1;4;8;16;22
43;1;4;8;16;23
44;1;4;8;16;24
45;1;4;8;16;25
46;1;4;8;17;20
47;1;4;8;17;21
48;1;4;8;17;22
49;1;4;8;17;23
50;1;4;8;17;24
51;1;4;8;17;25
52;1;4;8;18;21
53;1;4;8;18;22
54;1;4;8;18;23
55;1;4;8;18;24
56;1;4;8;18;25
57;1;4;8;19;22
58;1;4;8;19;23
59;1;4;8;19;24
60;1;4;8;19;25
61;1;4;8;20;23
62;1;4;8;20;24
63;1;4;8;20;25
64;1;4;8;21;24
65;1;4;8;21;25
66;1;4;8;22;25
67;1;4;9;13;16
68;1;4;9;13;17
69;1;4;9;13;18
70;1;4;9;13;19
71;1;4;9;13;20
72;1;4;9;13;21
73;1;4;9;13;22
74;1;4;9;13;23
75;1;4;9;13;24
76;1;4;9;13;25
77;1;4;9;14;17
78;1;4;9;14;18
79;1;4;9;14;19
80;1;4;9;14;20
81;1;4;9;14;21
82;1;4;9;14;22
83;1;4;9;14;23
84;1;4;9;14;24
85;1;4;9;14;25
86;1;4;9;15;18
87;1;4;9;15;19
88;1;4;9;15;20
89;1;4;9;15;21
90;1;4;9;15;22
91;1;4;9;15;23
92;1;4;9;15;24
93;1;4;9;15;25
94;1;4;9;16;19
95;1;4;9;16;20
96;1;4;9;16;21
97;1;4;9;16;22
98;1;4;9;16;23
99;1;4;9;16;24
100;1;4;9;16;25
101;1;4;9;17;20
102;1;4;9;17;21
103;1;4;9;17;22
104;1;4;9;17;23
105;1;4;9;17;24
106;1;4;9;17;25
107;1;4;9;18;21
108;1;4;9;18;22
109;1;4;9;18;23
110;1;4;9;18;24
111;1;4;9;18;25
112;1;4;9;19;22
113;1;4;9;19;23
114;1;4;9;19;24
115;1;4;9;19;25
116;1;4;9;20;23
117;1;4;9;20;24
118;1;4;9;20;25
119;1;4;9;21;24
120;1;4;9;21;25
121;1;4;9;22;25
122;1;4;10;14;17
123;1;4;10;14;18
124;1;4;10;14;19
125;1;4;10;14;20
126;1;4;10;14;21
127;1;4;10;14;22
128;1;4;10;14;23
129;1;4;10;14;24
130;1;4;10;14;25
131;1;4;10;15;18
132;1;4;10;15;19
133;1;4;10;15;20
134;1;4;10;15;21
135;1;4;10;15;22
136;1;4;10;15;23
137;1;4;10;15;24
138;1;4;10;15;25
139;1;4;10;16;19
140;1;4;10;16;20
141;1;4;10;16;21
142;1;4;10;16;22
143;1;4;10;16;23
144;1;4;10;16;24
145;1;4;10;16;25
146;1;4;10;17;20
147;1;4;10;17;21
148;1;4;10;17;22
149;1;4;10;17;23
150;1;4;10;17;24
151;1;4;10;17;25
152;1;4;10;18;21
153;1;4;10;18;22
154;1;4;10;18;23
155;1;4;10;18;24
156;1;4;10;18;25
157;1;4;10;19;22
158;1;4;10;19;23
159;1;4;10;19;24
160;1;4;10;19;25
161;1;4;10;20;23
162;1;4;10;20;24
163;1;4;10;20;25
164;1;4;10;21;24
165;1;4;10;21;25
166;1;4;10;22;25
167;1;4;11;15;18
168;1;4;11;15;19
169;1;4;11;15;20
170;1;4;11;15;21
171;1;4;11;15;22
172;1;4;11;15;23
173;1;4;11;15;24
174;1;4;11;15;25
175;1;4;11;16;19
176;1;4;11;16;20
177;1;4;11;16;21
178;1;4;11;16;22
179;1;4;11;16;23
180;1;4;11;16;24
181;1;4;11;16;25
182;1;4;11;17;20
183;1;4;11;17;21
184;1;4;11;17;22
185;1;4;11;17;23
186;1;4;11;17;24
187;1;4;11;17;25
188;1;4;11;18;21
189;1;4;11;18;22
190;1;4;11;18;23
191;1;4;11;18;24
192;1;4;11;18;25
193;1;4;11;19;22
194;1;4;11;19;23
195;1;4;11;19;24
196;1;4;11;19;25
197;1;4;11;20;23
198;1;4;11;20;24
199;1;4;11;20;25
200;1;4;11;21;24
201;1;4;11;21;25
202;1;4;11;22;25
203;1;4;12;16;19
204;1;4;12;16;20
205;1;4;12;16;21
206;1;4;12;16;22
207;1;4;12;16;23
208;1;4;12;16;24
209;1;4;12;16;25
210;1;4;12;17;20
211;1;4;12;17;21
212;1;4;12;17;22
213;1;4;12;17;23
214;1;4;12;17;24
215;1;4;12;17;25
216;1;4;12;18;21
217;1;4;12;18;22
218;1;4;12;18;23
219;1;4;12;18;24
220;1;4;12;18;25
221;1;4;12;19;22
222;1;4;12;19;23
223;1;4;12;19;24
224;1;4;12;19;25
225;1;4;12;20;23
226;1;4;12;20;24
227;1;4;12;20;25
228;1;4;12;21;24
229;1;4;12;21;25
230;1;4;12;22;25
231;1;4;13;17;20
232;1;4;13;17;21
233;1;4;13;17;22
234;1;4;13;17;23
235;1;4;13;17;24
236;1;4;13;17;25
237;1;4;13;18;21
238;1;4;13;18;22
239;1;4;13;18;23
240;1;4;13;18;24
241;1;4;13;18;25
242;1;4;13;19;22
243;1;4;13;19;23
244;1;4;13;19;24
245;1;4;13;19;25
246;1;4;13;20;23
247;1;4;13;20;24
248;1;4;13;20;25
249;1;4;13;21;24
250;1;4;13;21;25
251;1;4;13;22;25
252;1;4;14;18;21
253;1;4;14;18;22
254;1;4;14;18;23
255;1;4;14;18;24
256;1;4;14;18;25
257;1;4;14;19;22
258;1;4;14;19;23
259;1;4;14;19;24
260;1;4;14;19;25
261;1;4;14;20;23
262;1;4;14;20;24
263;1;4;14;20;25
264;1;4;14;21;24
265;1;4;14;21;25
266;1;4;14;22;25
267;1;4;15;19;22
268;1;4;15;19;23
269;1;4;15;19;24
270;1;4;15;19;25
271;1;4;15;20;23
272;1;4;15;20;24
273;1;4;15;20;25
274;1;4;15;21;24
275;1;4;15;21;25
276;1;4;15;22;25
277;1;4;16;20;23
278;1;4;16;20;24
279;1;4;16;20;25
280;1;4;16;21;24
281;1;4;16;21;25
282;1;4;16;22;25
283;1;4;17;21;24
284;1;4;17;21;25
285;1;4;17;22;25
286;1;4;18;22;25
287;1;5;9;13;16
288;1;5;9;13;17
289;1;5;9;13;18
290;1;5;9;13;19
291;1;5;9;13;20
292;1;5;9;13;21
293;1;5;9;13;22
294;1;5;9;13;23
295;1;5;9;13;24
296;1;5;9;13;25
297;1;5;9;14;17
298;1;5;9;14;18
299;1;5;9;14;19
300;1;5;9;14;20
301;1;5;9;14;21
302;1;5;9;14;22
303;1;5;9;14;23
304;1;5;9;14;24
305;1;5;9;14;25
306;1;5;9;15;18
307;1;5;9;15;19
308;1;5;9;15;20
309;1;5;9;15;21
310;1;5;9;15;22
311;1;5;9;15;23
312;1;5;9;15;24
313;1;5;9;15;25
314;1;5;9;16;19
315;1;5;9;16;20
316;1;5;9;16;21
317;1;5;9;16;22
318;1;5;9;16;23
319;1;5;9;16;24
320;1;5;9;16;25
321;1;5;9;17;20
322;1;5;9;17;21
323;1;5;9;17;22
324;1;5;9;17;23
325;1;5;9;17;24
326;1;5;9;17;25
327;1;5;9;18;21
328;1;5;9;18;22
329;1;5;9;18;23
330;1;5;9;18;24
331;1;5;9;18;25
332;1;5;9;19;22
333;1;5;9;19;23
334;1;5;9;19;24
335;1;5;9;19;25
336;1;5;9;20;23
337;1;5;9;20;24
338;1;5;9;20;25
339;1;5;9;21;24
340;1;5;9;21;25
341;1;5;9;22;25
342;1;5;10;14;17
343;1;5;10;14;18
344;1;5;10;14;19
345;1;5;10;14;20
346;1;5;10;14;21
347;1;5;10;14;22
348;1;5;10;14;23
349;1;5;10;14;24
350;1;5;10;14;25
351;1;5;10;15;18
352;1;5;10;15;19
353;1;5;10;15;20
354;1;5;10;15;21
355;1;5;10;15;22
356;1;5;10;15;23
357;1;5;10;15;24
358;1;5;10;15;25
359;1;5;10;16;19
360;1;5;10;16;20
361;1;5;10;16;21
362;1;5;10;16;22
363;1;5;10;16;23
364;1;5;10;16;24
365;1;5;10;16;25
366;1;5;10;17;20
367;1;5;10;17;21
368;1;5;10;17;22
369;1;5;10;17;23
370;1;5;10;17;24
371;1;5;10;17;25
372;1;5;10;18;21
373;1;5;10;18;22
374;1;5;10;18;23
375;1;5;10;18;24
376;1;5;10;18;25
377;1;5;10;19;22
378;1;5;10;19;23
379;1;5;10;19;24
380;1;5;10;19;25
381;1;5;10;20;23
382;1;5;10;20;24
383;1;5;10;20;25
384;1;5;10;21;24
385;1;5;10;21;25
386;1;5;10;22;25
387;1;5;11;15;18
388;1;5;11;15;19
389;1;5;11;15;20
390;1;5;11;15;21
391;1;5;11;15;22
392;1;5;11;15;23
393;1;5;11;15;24
394;1;5;11;15;25
395;1;5;11;16;19
396;1;5;11;16;20
397;1;5;11;16;21
398;1;5;11;16;22
399;1;5;11;16;23
400;1;5;11;16;24
401;1;5;11;16;25
402;1;5;11;17;20
403;1;5;11;17;21
404;1;5;11;17;22
405;1;5;11;17;23
406;1;5;11;17;24
407;1;5;11;17;25
408;1;5;11;18;21
409;1;5;11;18;22
410;1;5;11;18;23
411;1;5;11;18;24
412;1;5;11;18;25
413;1;5;11;19;22
414;1;5;11;19;23
415;1;5;11;19;24
416;1;5;11;19;25
417;1;5;11;20;23
418;1;5;11;20;24
419;1;5;11;20;25
420;1;5;11;21;24
421;1;5;11;21;25
422;1;5;11;22;25
423;1;5;12;16;19
424;1;5;12;16;20
425;1;5;12;16;21
426;1;5;12;16;22
427;1;5;12;16;23
428;1;5;12;16;24
429;1;5;12;16;25
430;1;5;12;17;20
431;1;5;12;17;21
432;1;5;12;17;22
433;1;5;12;17;23
434;1;5;12;17;24
435;1;5;12;17;25
436;1;5;12;18;21
437;1;5;12;18;22
438;1;5;12;18;23
439;1;5;12;18;24
440;1;5;12;18;25
441;1;5;12;19;22
442;1;5;12;19;23
443;1;5;12;19;24
444;1;5;12;19;25
445;1;5;12;20;23
446;1;5;12;20;24
447;1;5;12;20;25
448;1;5;12;21;24
449;1;5;12;21;25
450;1;5;12;22;25
451;1;5;13;17;20
452;1;5;13;17;21
453;1;5;13;17;22
454;1;5;13;17;23
455;1;5;13;17;24
456;1;5;13;17;25
457;1;5;13;18;21
458;1;5;13;18;22
459;1;5;13;18;23
460;1;5;13;18;24
461;1;5;13;18;25
462;1;5;13;19;22
463;1;5;13;19;23
464;1;5;13;19;24
465;1;5;13;19;25
466;1;5;13;20;23
467;1;5;13;20;24
468;1;5;13;20;25
