vrt_id;vrt_qt;vrt_1;vrt_2;vrt_3;vrt_4;vrt_5
1;15;0;0;5;5;5
2;15;0;1;4;5;5
3;15;0;1;5;4;5
4;15;0;1;5;5;4
5;16;0;1;5;5;5
6;15;0;2;3;5;5
7;15;0;2;4;4;5
8;15;0;2;4;5;4
9;16;0;2;4;5;5
10;15;0;2;5;3;5
11;15;0;2;5;4;4
12;16;0;2;5;4;5
13;15;0;2;5;5;3
14;16;0;2;5;5;4
15;17;0;2;5;5;5
16;15;0;3;2;5;5
17;15;0;3;3;4;5
18;15;0;3;3;5;4
19;16;0;3;3;5;5
20;15;0;3;4;3;5
21;15;0;3;4;4;4
22;16;0;3;4;4;5
23;15;0;3;4;5;3
24;16;0;3;4;5;4
25;17;0;3;4;5;5
26;15;0;3;5;2;5
27;15;0;3;5;3;4
28;16;0;3;5;3;5
29;15;0;3;5;4;3
30;16;0;3;5;4;4
31;17;0;3;5;4;5
32;15;0;3;5;5;2
33;16;0;3;5;5;3
34;17;0;3;5;5;4
35;18;0;3;5;5;5
36;15;0;4;1;5;5
37;15;0;4;2;4;5
38;15;0;4;2;5;4
39;16;0;4;2;5;5
40;15;0;4;3;3;5
41;15;0;4;3;4;4
42;16;0;4;3;4;5
43;15;0;4;3;5;3
44;16;0;4;3;5;4
45;17;0;4;3;5;5
46;15;0;4;4;2;5
47;15;0;4;4;3;4
48;16;0;4;4;3;5
49;15;0;4;4;4;3
50;16;0;4;4;4;4
51;17;0;4;4;4;5
52;15;0;4;4;5;2
53;16;0;4;4;5;3
54;17;0;4;4;5;4
55;18;0;4;4;5;5
56;15;0;4;5;1;5
57;15;0;4;5;2;4
58;16;0;4;5;2;5
59;15;0;4;5;3;3
60;16;0;4;5;3;4
61;17;0;4;5;3;5
62;15;0;4;5;4;2
63;16;0;4;5;4;3
64;17;0;4;5;4;4
65;18;0;4;5;4;5
66;15;0;4;5;5;1
67;16;0;4;5;5;2
68;17;0;4;5;5;3
69;18;0;4;5;5;4
70;15;0;5;0;5;5
71;15;0;5;1;4;5
72;15;0;5;1;5;4
73;16;0;5;1;5;5
74;15;0;5;2;3;5
75;15;0;5;2;4;4
76;16;0;5;2;4;5
77;15;0;5;2;5;3
78;16;0;5;2;5;4
79;17;0;5;2;5;5
80;15;0;5;3;2;5
81;15;0;5;3;3;4
82;16;0;5;3;3;5
83;15;0;5;3;4;3
84;16;0;5;3;4;4
85;17;0;5;3;4;5
86;15;0;5;3;5;2
87;16;0;5;3;5;3
88;17;0;5;3;5;4
89;18;0;5;3;5;5
90;15;0;5;4;1;5
91;15;0;5;4;2;4
92;16;0;5;4;2;5
93;15;0;5;4;3;3
94;16;0;5;4;3;4
95;17;0;5;4;3;5
96;15;0;5;4;4;2
97;16;0;5;4;4;3
98;17;0;5;4;4;4
99;18;0;5;4;4;5
100;15;0;5;4;5;1
101;16;0;5;4;5;2
102;17;0;5;4;5;3
103;18;0;5;4;5;4
104;15;0;5;5;0;5
105;15;0;5;5;1;4
106;16;0;5;5;1;5
107;15;0;5;5;2;3
108;16;0;5;5;2;4
109;17;0;5;5;2;5
110;15;0;5;5;3;2
111;16;0;5;5;3;3
112;17;0;5;5;3;4
113;18;0;5;5;3;5
114;15;0;5;5;4;1
115;16;0;5;5;4;2
116;17;0;5;5;4;3
117;18;0;5;5;4;4
118;15;0;5;5;5;0
119;16;0;5;5;5;1
120;17;0;5;5;5;2
121;18;0;5;5;5;3
122;15;1;0;4;5;5
123;15;1;0;5;4;5
124;15;1;0;5;5;4
125;16;1;0;5;5;5
126;15;1;1;3;5;5
127;15;1;1;4;4;5
128;15;1;1;4;5;4
129;16;1;1;4;5;5
130;15;1;1;5;3;5
131;15;1;1;5;4;4
132;16;1;1;5;4;5
133;15;1;1;5;5;3
134;16;1;1;5;5;4
135;17;1;1;5;5;5
136;15;1;2;2;5;5
137;15;1;2;3;4;5
138;15;1;2;3;5;4
139;16;1;2;3;5;5
140;15;1;2;4;3;5
141;15;1;2;4;4;4
142;16;1;2;4;4;5
143;15;1;2;4;5;3
144;16;1;2;4;5;4
145;17;1;2;4;5;5
146;15;1;2;5;2;5
147;15;1;2;5;3;4
148;16;1;2;5;3;5
149;15;1;2;5;4;3
150;16;1;2;5;4;4
151;17;1;2;5;4;5
152;15;1;2;5;5;2
153;16;1;2;5;5;3
154;17;1;2;5;5;4
155;18;1;2;5;5;5
156;15;1;3;1;5;5
157;15;1;3;2;4;5
158;15;1;3;2;5;4
159;16;1;3;2;5;5
160;15;1;3;3;3;5
161;15;1;3;3;4;4
162;16;1;3;3;4;5
163;15;1;3;3;5;3
164;16;1;3;3;5;4
165;17;1;3;3;5;5
166;15;1;3;4;2;5
167;15;1;3;4;3;4
168;16;1;3;4;3;5
169;15;1;3;4;4;3
170;16;1;3;4;4;4
171;17;1;3;4;4;5
172;15;1;3;4;5;2
173;16;1;3;4;5;3
174;17;1;3;4;5;4
175;18;1;3;4;5;5
176;15;1;3;5;1;5
177;15;1;3;5;2;4
178;16;1;3;5;2;5
179;15;1;3;5;3;3
180;16;1;3;5;3;4
181;17;1;3;5;3;5
182;15;1;3;5;4;2
183;16;1;3;5;4;3
184;17;1;3;5;4;4
185;18;1;3;5;4;5
186;15;1;3;5;5;1
187;16;1;3;5;5;2
188;17;1;3;5;5;3
189;18;1;3;5;5;4
190;15;1;4;0;5;5
191;15;1;4;1;4;5
192;15;1;4;1;5;4
193;16;1;4;1;5;5
194;15;1;4;2;3;5
195;15;1;4;2;4;4
196;16;1;4;2;4;5
197;15;1;4;2;5;3
198;16;1;4;2;5;4
199;17;1;4;2;5;5
200;15;1;4;3;2;5
201;15;1;4;3;3;4
202;16;1;4;3;3;5
203;15;1;4;3;4;3
204;16;1;4;3;4;4
205;17;1;4;3;4;5
206;15;1;4;3;5;2
207;16;1;4;3;5;3
208;17;1;4;3;5;4
209;18;1;4;3;5;5
210;15;1;4;4;1;5
211;15;1;4;4;2;4
212;16;1;4;4;2;5
213;15;1;4;4;3;3
214;16;1;4;4;3;4
215;17;1;4;4;3;5
216;15;1;4;4;4;2
217;16;1;4;4;4;3
218;17;1;4;4;4;4
219;18;1;4;4;4;5
220;15;1;4;4;5;1
221;16;1;4;4;5;2
222;17;1;4;4;5;3
223;18;1;4;4;5;4
224;15;1;4;5;0;5
225;15;1;4;5;1;4
226;16;1;4;5;1;5
227;15;1;4;5;2;3
228;16;1;4;5;2;4
229;17;1;4;5;2;5
230;15;1;4;5;3;2
231;16;1;4;5;3;3
232;17;1;4;5;3;4
233;18;1;4;5;3;5
234;15;1;4;5;4;1
235;16;1;4;5;4;2
236;17;1;4;5;4;3
237;18;1;4;5;4;4
238;15;1;4;5;5;0
239;16;1;4;5;5;1
240;17;1;4;5;5;2
241;18;1;4;5;5;3
242;15;1;5;0;4;5
243;15;1;5;0;5;4
244;16;1;5;0;5;5
245;15;1;5;1;3;5
246;15;1;5;1;4;4
247;16;1;5;1;4;5
248;15;1;5;1;5;3
249;16;1;5;1;5;4
250;17;1;5;1;5;5
251;15;1;5;2;2;5
252;15;1;5;2;3;4
253;16;1;5;2;3;5
254;15;1;5;2;4;3
255;16;1;5;2;4;4
256;17;1;5;2;4;5
257;15;1;5;2;5;2
258;16;1;5;2;5;3
259;17;1;5;2;5;4
260;18;1;5;2;5;5
261;15;1;5;3;1;5
262;15;1;5;3;2;4
263;16;1;5;3;2;5
264;15;1;5;3;3;3
265;16;1;5;3;3;4
266;17;1;5;3;3;5
267;15;1;5;3;4;2
268;16;1;5;3;4;3
269;17;1;5;3;4;4
270;18;1;5;3;4;5
271;15;1;5;3;5;1
272;16;1;5;3;5;2
273;17;1;5;3;5;3
274;18;1;5;3;5;4
275;15;1;5;4;0;5
276;15;1;5;4;1;4
277;16;1;5;4;1;5
278;15;1;5;4;2;3
279;16;1;5;4;2;4
280;17;1;5;4;2;5
281;15;1;5;4;3;2
282;16;1;5;4;3;3
283;17;1;5;4;3;4
284;18;1;5;4;3;5
285;15;1;5;4;4;1
286;16;1;5;4;4;2
287;17;1;5;4;4;3
288;18;1;5;4;4;4
289;15;1;5;4;5;0
290;16;1;5;4;5;1
291;17;1;5;4;5;2
292;18;1;5;4;5;3
293;15;1;5;5;0;4
294;16;1;5;5;0;5
295;15;1;5;5;1;3
296;16;1;5;5;1;4
297;17;1;5;5;1;5
298;15;1;5;5;2;2
299;16;1;5;5;2;3
300;17;1;5;5;2;4
301;18;1;5;5;2;5
302;15;1;5;5;3;1
303;16;1;5;5;3;2
304;17;1;5;5;3;3
305;18;1;5;5;3;4
306;15;1;5;5;4;0
307;16;1;5;5;4;1
308;17;1;5;5;4;2
309;18;1;5;5;4;3
310;16;1;5;5;5;0
311;17;1;5;5;5;1
312;18;1;5;5;5;2
313;15;2;0;3;5;5
314;15;2;0;4;4;5
315;15;2;0;4;5;4
316;16;2;0;4;5;5
317;15;2;0;5;3;5
318;15;2;0;5;4;4
319;16;2;0;5;4;5
320;15;2;0;5;5;3
321;16;2;0;5;5;4
322;17;2;0;5;5;5
323;15;2;1;2;5;5
324;15;2;1;3;4;5
325;15;2;1;3;5;4
326;16;2;1;3;5;5
327;15;2;1;4;3;5
328;15;2;1;4;4;4
329;16;2;1;4;4;5
